rot	tilt	psi
174.3614	103.5037	-101.6997
25.7386	126.7099	-137.5487
117.5362	100.1886	-138.0541
82.2637	51.05	-173.6542
168.8538	90.8392	-127.7396
83.4781	148.4913	-90.8782
-134.9826	60.6658	-2.8861
131.8102	46.2732	-71.145
59.8299	109.7091	-6.3785
96.9837	153.4198	154.9709
140.7938	40.9741	-177.1696
-51.1148	72.9148	-98.2807
31.3256	140.6474	-39.6417
67.3395	111.6359	-175.9277
73.7445	108.3249	149.8543
-171.1363	143.6526	-173.9585
-124.0522	71.6601	-175.7236
160.1915	16.5254	-153.5847
42.3571	82.7207	46.2153
-123.483	96.6186	-121.138
142.4745	24.3166	29.1914
136.0791	21.6117	-146.3244
107.5617	158.3589	-94.3634
-104.7104	83.0186	-20.9959
-105.9521	78.496	158.8127
20.0825	103.413	14.3955
-6.6572	118.6018	171.7443
25.9257	10.0809	-123.3846
39.4735	13.5177	46.0813
-139.2011	62.5743	161.1105
-71.3889	97.2826	-119.7669
159.877	35.026	28.4681
-7.748	79.7048	-158.2258
101.4902	86.0724	-117.5578
-71.0799	41.423	-146.6627
-71.0799	41.423	-146.6627
-71.088	161.1717	-176.1057
-21.4252	136.2463	83.5765
35.5894	73.3142	-36.268
-9.9065	131.3475	124.0524
153.8841	61.3089	43.2665
149.151	60.5601	-131.6193
-1.3681	102.4431	-38.2834
-134.3476	125.4961	3.9277
139.8585	41.4485	-43.8801
76.5938	72.8488	-1.7412
-159.9732	129.0135	94.7643
68.0421	135.7427	68.4801
-22.2026	161.6687	-128.9905
-11.0622	161.629	61.7428
60.7533	157.0186	-136.5664
164.3951	26.4565	133.168
-103.0347	93.6244	155.7814
-153.6295	82.077	-120.9831
-88.3879	126.9312	109.1689
166.426	64.1662	48.5453
102.1409	93.8092	126.0186
-132.8777	137.118	-149.7471
-108.7421	105.8289	45.6896
-99.8755	83.1902	106.3686
-44.0037	104.191	-51.8789
43.7512	65.5701	113.4141
82.7378	166.321	143.8265
-116.6682	108.3332	61.1554
113.9581	108.4761	-82.3406
118.6187	108.1457	101.4695
77.5251	51.3972	-96.7374
28.9687	119.1882	-158.6098
31.3061	121.0856	23.9706
49.1809	103.5046	-170.5931
-175.9783	33.6623	145.8702
152.9737	92.6255	2.4272
64.6757	170.8309	39.5958
122.3813	90.7187	38.3328
-152.0945	67.6343	-137.0509
-145.6738	63.943	39.0011
-132.1275	69.7193	-19.8267
-51.1516	95.9447	82.0436
-101.0378	42.0189	-57.3272
-86.7512	73.6496	107.6058
-34.4464	22.8926	-83.2858
73.6464	133.7325	56.8909
130.706	118.6287	-146.7998
172.0656	50.6458	170.0516
173.0233	54.0382	-9.2208
-96.3134	54.5896	120.8415
123.6909	50.5158	-71.2284
-71.0219	94.8932	-15.6049
-71.0219	94.8932	-15.6049
-27.6895	100.7118	20.7046
68.1414	62.0395	-106.9866
143.4051	28.9287	-30.3131
-162.9565	55.2405	105.1171
-92.2958	84.4726	124.5503
38.138	160.4938	-82.5577
104.0982	82.9185	-142.8502
114.9594	64.3593	-19.1835
116.0063	61.8926	160.3431
25.5502	108.8567	-31.3454
-145.4906	87.5574	90.5427
-137.8503	47.9891	158.2178
120.6939	78.4526	138.1321
118.8634	80.3811	-41.5317
-0.5793	144.3136	-96.0713
60.9936	117.0667	36.2554
56.5925	118.6622	-138.6945
-83.0999	111.2073	62.7466
152.0943	59.4665	-165.1438
